,Ben White,Mathew Ryan,David Button,Jayson Molumby,Markus Suttner,Solly March,Bruno,Lewis Dunk,Anthony Knockaert,Jürgen Locadia,Jason Steele,Martín Montoya,Bernardo,Davy Pröpper,Leon Balogun,José Izquierdo,Gaëtan Bong,Viktor Gyökeres,Pascal Groß,Dan Burn,Alireza Jahanbakhsh,Shane Duffy,Florin Andone,Max Sanders,Dale Stephens,Beram Kayal,Glenn Murray,Yves Bissouma,Successful,Unsuccessful,Unsuccessful Pass
Ben White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mathew Ryan,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,11
David Button,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jayson Molumby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Markus Suttner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solly March,0,1,0,0,0,0,0,0,0,1,0,2,0,5,0,0,0,0,4,0,0,2,1,0,0,0,1,0,0,1,15
Bruno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewis Dunk,0,4,0,0,0,0,0,0,0,0,0,3,0,8,0,0,12,0,3,0,0,10,0,0,0,0,2,3,0,1,12
Anthony Knockaert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jürgen Locadia,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,9,0,1,0,0,0,1,0,0,0,1,8,0,5,9
Jason Steele,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martín Montoya,0,1,0,0,0,8,0,1,0,1,0,0,0,5,0,0,0,0,19,0,0,6,0,0,0,0,2,1,0,0,15
Bernardo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davy Pröpper,0,1,0,0,0,4,0,10,0,3,0,4,0,0,0,0,8,0,10,0,0,7,0,0,0,0,1,5,0,1,8
Leon Balogun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
José Izquierdo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaëtan Bong,0,2,0,0,0,0,0,6,0,18,0,0,0,7,0,0,0,0,0,0,0,2,3,0,0,0,2,5,0,1,15
Viktor Gyökeres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pascal Groß,0,0,0,0,0,11,0,3,0,3,0,11,0,5,0,0,2,0,0,0,0,5,1,0,0,0,2,1,0,3,20
Dan Burn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alireza Jahanbakhsh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane Duffy,0,3,0,0,0,1,0,10,0,0,0,8,0,2,0,0,3,0,6,0,0,0,0,0,0,0,3,1,0,3,11
Florin Andone,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3
Max Sanders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dale Stephens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beram Kayal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glenn Murray,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,6
Yves Bissouma,0,0,0,0,0,2,0,3,0,3,0,0,0,7,0,0,4,0,3,0,0,0,0,0,0,0,1,0,0,3,4
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
