,Ben White,Mathew Ryan,David Button,Jayson Molumby,Markus Suttner,Solly March,Bruno,Lewis Dunk,Anthony Knockaert,Jürgen Locadia,Jason Steele,Martín Montoya,Bernardo,Davy Pröpper,Leon Balogun,José Izquierdo,Gaëtan Bong,Viktor Gyökeres,Pascal Groß,Dan Burn,Alireza Jahanbakhsh,Shane Duffy,Florin Andone,Max Sanders,Dale Stephens,Beram Kayal,Glenn Murray,Yves Bissouma,Successful,Unsuccessful,Unsuccessful Pass
Ben White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mathew Ryan,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,10,0,0,0,11
David Button,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jayson Molumby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Markus Suttner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solly March,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,5
Bruno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewis Dunk,0,4,0,0,0,2,0,0,1,0,0,2,0,0,0,0,4,0,0,0,0,3,0,0,0,0,2,0,0,2,4
Anthony Knockaert,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,0,0,0,0,0,1,1,0,0,1,2,1,2,1,2,13
Jürgen Locadia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
Jason Steele,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martín Montoya,0,2,0,0,0,0,0,1,7,0,0,0,0,3,0,0,0,0,0,0,1,4,0,0,1,1,2,7,0,1,11
Bernardo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davy Pröpper,0,1,0,0,0,1,0,6,3,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,1,0,2,0,0,2
Leon Balogun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
José Izquierdo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gaëtan Bong,0,3,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,8
Viktor Gyökeres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pascal Groß,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Burn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alireza Jahanbakhsh,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Shane Duffy,0,2,0,0,0,1,0,0,1,1,0,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,10
Florin Andone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Sanders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dale Stephens,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Beram Kayal,0,0,0,0,0,2,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
Glenn Murray,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,0,0,12
Yves Bissouma,0,1,0,0,0,0,0,1,8,0,0,4,0,2,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,3
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
