,Jeremy Sarmiento,Neal Maupay,Alexis Mac Allister,James Furlong,Levi Colwill,Adam Lallana,Kaoru Mitoma,Pervis Estupiñán,Odeluga Offiah,Jan Paul van Hecke,Ed Turns,Adam Webster,Solly March,Lewis Dunk,Moisés Caicedo,Andrew Moran,Facundo Buonanotte,Evan Ferguson,Julio Enciso,Jason Steele,Steven Alzate,Leandro Trossard,Tom McGill,Jack Hinshelwood,Pascal Groß,Deniz Undav,Yasin Ayari,Imari Samuels,Robert Sánchez,Enock Mwepu,Billy Gilmour,Danny Welbeck,Tariq Lamptey,Cameron Peupion,Joël Veltman,Successful,Unsuccessful,Unsuccessful Pass
Ed Turns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Webster,0,0,3,0,0,0,0,1,0,0,0,0,3,28,2,0,0,0,0,0,0,4,0,0,9,0,0,0,12,6,0,0,3,0,14,0,1,17
Solly March,0,0,3,0,0,0,4,3,0,0,0,1,0,9,2,0,0,0,0,0,0,5,0,0,3,0,0,0,3,1,0,1,1,0,2,0,1,15
Lewis Dunk,0,0,2,0,0,0,3,16,0,0,0,31,10,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,2,0,4,1,0,11
Moisés Caicedo,0,0,6,0,0,0,2,4,0,0,0,3,2,8,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,5
Andrew Moran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Facundo Buonanotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evan Ferguson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julio Enciso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Steele,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven Alzate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leandro Trossard,0,0,1,0,0,0,2,3,0,0,0,1,4,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,1,0,1,4
Tom McGill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Hinshelwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pascal Groß,0,0,2,0,0,0,2,0,0,0,0,8,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,3,0,1,0,1,12
Deniz Undav,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Yasin Ayari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imari Samuels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Sánchez,0,0,1,0,0,0,0,2,0,0,0,14,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Enock Mwepu,0,0,1,0,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6
Billy Gilmour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Welbeck,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Tariq Lamptey,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,9
Cameron Peupion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joël Veltman,0,0,0,0,0,0,0,0,0,0,0,8,4,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,4,10,0,0,0,0,0,0,0,6
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
