,initial_possession
Folarin Balogun,0
Ben White,24
Zach Awe,0
Takehiro Tomiyasu,0
Emile Smith Rowe,10
Martin Ødegaard,15
Granit Xhaka,15
Mohamed Elneny,0
Salah-Eddine Oulad M'hand,0
Reiss Nelson,0
Karl Hein,0
Mazeed Ogungbo,0
Alexandre Lacazette,8
Ainsley Maitland-Niles,0
Charlie Patino,0
Omari Hutchinson,0
Ryan Alebiosu,0
Thomas Partey,19
Kieran Tierney,30
Nuno Tavares,0
Cédric Soares,31
Zak Swanson,0
Aaron Ramsdale,0
Gabriel Martinelli,0
Bukayo Saka,20
Alex Kirk,0
Pablo Marí,0
Arthur Okonkwo,0
Nicolas Pépé,6
Pierre-Emerick Aubameyang,0
Eddie Nketiah,3
Albert Sambi Lokonga,0
Héctor Bellerín,0
Gabriel Magalhães,15
Sead Kolasinac,0
Miguel Azeez,0
Mika Biereth,0
Bernd Leno,18
Marcelo Flores,0
Calum Chambers,0
Rob Holding,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
