,initial_possession
Folarin Balogun,0
Ben White,25
Zach Awe,0
Takehiro Tomiyasu,0
Emile Smith Rowe,5
Martin Ødegaard,18
Granit Xhaka,14
Mohamed Elneny,0
Salah-Eddine Oulad M'hand,0
Reiss Nelson,0
Karl Hein,0
Mazeed Ogungbo,0
Alexandre Lacazette,12
Ainsley Maitland-Niles,0
Charlie Patino,0
Omari Hutchinson,0
Ryan Alebiosu,0
Thomas Partey,17
Kieran Tierney,20
Nuno Tavares,0
Cédric Soares,28
Zak Swanson,0
Aaron Ramsdale,18
Gabriel Martinelli,13
Bukayo Saka,15
Alex Kirk,0
Pablo Marí,0
Arthur Okonkwo,0
Nicolas Pépé,0
Pierre-Emerick Aubameyang,0
Eddie Nketiah,5
Albert Sambi Lokonga,0
Héctor Bellerín,0
Gabriel Magalhães,20
Sead Kolasinac,0
Miguel Azeez,0
Mika Biereth,0
Bernd Leno,0
Marcelo Flores,0
Calum Chambers,0
Rob Holding,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
