,Rúnar Rúnarsson,Willian,Emile Smith Rowe,Mathew Ryan,Martin Ødegaard,Granit Xhaka,Mohamed Elneny,Reiss Nelson,Shkodran Mustafi,Alexandre Lacazette,Ainsley Maitland-Niles,David Luiz,Thomas Partey,Kieran Tierney,Dani Ceballos,Cédric Soares,Joe Willock,Matt Macey,Gabriel Martinelli,Bukayo Saka,Pablo Marí,Nicolas Pépé,Pierre-Emerick Aubameyang,Eddie Nketiah,Héctor Bellerín,Gabriel Magalhães,Sead Kolasinac,Miguel Azeez,Bernd Leno,Calum Chambers,Rob Holding,Successful,Unsuccessful,Unsuccessful Pass
Rúnar Rúnarsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willian,0,0,0,0,1,11,2,0,0,2,0,7,4,8,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,2,5
Emile Smith Rowe,0,1,0,0,0,3,2,0,0,1,0,1,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Mathew Ryan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Ødegaard,0,2,0,0,0,1,0,0,0,2,0,1,1,0,0,8,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,4
Granit Xhaka,0,8,1,0,2,0,7,0,0,6,0,2,6,9,0,2,0,0,0,0,14,3,0,0,0,0,0,0,1,0,0,0,0,9
Mohamed Elneny,0,0,3,0,0,5,0,0,0,3,0,2,0,4,0,9,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,6
Reiss Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shkodran Mustafi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Lacazette,0,3,1,0,0,2,3,0,0,0,0,0,2,0,0,1,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,1,0,3
Ainsley Maitland-Niles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Luiz,0,1,0,0,1,1,2,0,0,1,0,0,1,1,0,11,0,0,0,0,9,5,0,0,0,0,0,0,9,0,0,1,0,12
Thomas Partey,0,0,0,0,2,6,0,0,0,3,0,1,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,4
Kieran Tierney,0,15,2,0,2,9,2,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,1,0,0,0,2,13
Dani Ceballos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cédric Soares,0,4,5,0,4,2,4,0,0,1,0,7,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1,0,0,0,0,15
Joe Willock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Macey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Martinelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bukayo Saka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pablo Marí,0,3,0,0,1,10,4,0,0,3,0,15,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10
Nicolas Pépé,0,0,4,0,7,3,0,0,0,1,0,1,2,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,14
Pierre-Emerick Aubameyang,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Eddie Nketiah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Héctor Bellerín,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Magalhães,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sead Kolasinac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miguel Azeez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernd Leno,0,0,1,0,0,3,2,0,0,1,0,7,1,1,0,1,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,6
Calum Chambers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rob Holding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
