,Adrián,Georginio Wijnaldum,Mohamed Salah,Leighton Clarkson,Alisson Becker,Caoimhín Kelleher,Liam Hughes,Fabinho,Takumi Minamino,Andy Robertson,Billy Koumetio,Joe Gomez,Ben Davies,Kostas Tsimikas,Curtis Jones,Joël Matip,Virgil van Dijk,Ben Woodburn,Xherdan Shaqiri,Ozan Kabak,Neco Williams,Roberto Firmino,Sadio Mané,Thiago Alcântara,Divock Origi,Rhys Williams,Naby Keïta,Nathaniel Phillips,Jordan Henderson,Trent Alexander-Arnold,Diogo Jota,Alex Oxlade-Chamberlain,Jake Cain,James Milner,Jakub Ojrzynski,Successful,Unsuccessful,Unsuccessful Pass
Adrián,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georginio Wijnaldum,0,0,7,0,1,0,0,15,0,15,0,0,0,0,1,0,0,0,0,10,0,8,5,10,0,0,0,0,0,15,3,0,0,3,0,0,0,2
Mohamed Salah,0,1,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,4,3,2,0,0,0,0,0,11,5,0,0,2,0,1,2,8
Leighton Clarkson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisson Becker,0,2,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,10,0,0,1,6,0,0,0,0,0,3,0,0,0,1,0,0,0,1
Caoimhín Kelleher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liam Hughes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,0,9,6,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,18,0,0,4,12,0,0,0,0,0,21,0,0,0,0,0,0,0,1
Takumi Minamino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Robertson,0,15,1,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,9,0,5,20,16,0,0,0,0,0,1,11,0,0,12,0,0,1,10
