,Rúnar Rúnarsson,Willian,Emile Smith Rowe,Mathew Ryan,Martin Ødegaard,Granit Xhaka,Mohamed Elneny,Reiss Nelson,Shkodran Mustafi,Alexandre Lacazette,Ainsley Maitland-Niles,David Luiz,Thomas Partey,Kieran Tierney,Dani Ceballos,Cédric Soares,Joe Willock,Matt Macey,Gabriel Martinelli,Bukayo Saka,Pablo Marí,Nicolas Pépé,Pierre-Emerick Aubameyang,Eddie Nketiah,Héctor Bellerín,Gabriel Magalhães,Sead Kolasinac,Miguel Azeez,Bernd Leno,Calum Chambers,Rob Holding,Successful,Unsuccessful,Unsuccessful Pass
Rúnar Rúnarsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willian,0,0,0,0,0,0,4,0,0,1,0,0,4,1,0,0,0,0,0,1,0,0,2,0,11,0,0,0,0,0,6,0,1,12
Emile Smith Rowe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mathew Ryan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Ødegaard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granit Xhaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohamed Elneny,0,6,0,0,0,0,0,0,0,2,0,0,10,6,0,0,0,0,0,5,0,0,5,0,7,5,0,0,1,0,11,0,1,8
Reiss Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shkodran Mustafi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Lacazette,0,3,0,0,0,0,4,0,0,0,0,0,2,1,0,0,0,0,0,4,0,0,1,0,2,0,0,0,0,0,2,0,0,3
Ainsley Maitland-Niles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Luiz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Partey,0,7,0,0,0,0,5,0,0,5,0,0,0,3,0,0,0,0,0,10,0,0,7,0,9,3,0,0,2,0,5,0,1,4
Kieran Tierney,0,1,0,0,0,0,7,0,0,1,0,0,2,0,0,0,0,0,0,8,0,0,5,0,0,12,0,0,4,0,0,0,0,15
Dani Ceballos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cédric Soares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Willock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Macey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Martinelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bukayo Saka,0,1,0,0,0,0,5,0,0,4,0,0,2,8,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,2,11
Pablo Marí,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas Pépé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre-Emerick Aubameyang,0,3,0,0,0,0,6,0,0,1,0,0,7,3,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,1,1,5
Eddie Nketiah,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Héctor Bellerín,0,12,0,0,0,0,6,0,0,3,1,0,7,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,8,0,0,10
Gabriel Magalhães,0,0,0,0,0,0,4,0,0,1,0,0,7,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,0,4,0,0,4
Sead Kolasinac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miguel Azeez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernd Leno,0,0,0,0,0,0,6,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,2,0,1,8,0,0,0,0,14,0,0,11
