,Rúnar Rúnarsson,Willian,Emile Smith Rowe,Mathew Ryan,Martin Ødegaard,Granit Xhaka,Mohamed Elneny,Reiss Nelson,Shkodran Mustafi,Alexandre Lacazette,Ainsley Maitland-Niles,David Luiz,Thomas Partey,Kieran Tierney,Dani Ceballos,Cédric Soares,Joe Willock,Matt Macey,Gabriel Martinelli,Bukayo Saka,Pablo Marí,Nicolas Pépé,Pierre-Emerick Aubameyang,Eddie Nketiah,Héctor Bellerín,Gabriel Magalhães,Sead Kolasinac,Miguel Azeez,Bernd Leno,Calum Chambers,Rob Holding,Successful,Unsuccessful,Unsuccessful Pass
Rúnar Rúnarsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willian,0,0,1,0,0,5,0,0,0,2,0,2,0,0,0,4,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,7
Emile Smith Rowe,0,5,0,0,0,7,0,0,0,1,0,3,4,0,0,3,0,0,2,0,0,8,0,0,4,0,0,0,2,0,1,0,1,6
Mathew Ryan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Ødegaard,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granit Xhaka,0,4,4,0,1,0,0,0,0,1,0,9,12,0,0,12,0,0,0,0,0,1,0,0,1,0,0,0,3,0,9,0,1,2
Mohamed Elneny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reiss Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shkodran Mustafi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Lacazette,0,3,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,4
Ainsley Maitland-Niles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Luiz,0,1,4,0,0,12,0,0,0,1,0,0,3,0,0,5,0,0,0,0,0,1,0,0,2,0,0,0,2,0,13,0,4,5
Thomas Partey,0,0,6,0,1,5,0,0,0,1,0,3,0,0,0,6,0,0,1,0,0,4,0,0,4,0,0,0,0,0,3,0,1,11
