,Rúnar Rúnarsson,Willian,Emile Smith Rowe,Mathew Ryan,Martin Ødegaard,Granit Xhaka,Mohamed Elneny,Reiss Nelson,Shkodran Mustafi,Alexandre Lacazette,Ainsley Maitland-Niles,David Luiz,Thomas Partey,Kieran Tierney,Dani Ceballos,Cédric Soares,Joe Willock,Matt Macey,Gabriel Martinelli,Bukayo Saka,Pablo Marí,Nicolas Pépé,Pierre-Emerick Aubameyang,Eddie Nketiah,Héctor Bellerín,Gabriel Magalhães,Sead Kolasinac,Miguel Azeez,Bernd Leno,Calum Chambers,Rob Holding,Successful,Unsuccessful,Unsuccessful Pass
Rúnar Rúnarsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emile Smith Rowe,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Mathew Ryan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Ødegaard,0,0,0,0,0,12,0,0,0,8,0,5,14,3,0,0,0,0,0,8,1,3,2,0,0,0,0,0,0,17,0,0,3,12
Granit Xhaka,0,0,0,0,11,0,0,0,0,5,0,5,19,9,0,0,0,0,0,1,14,0,7,0,0,0,0,0,1,2,0,0,0,6
Mohamed Elneny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reiss Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shkodran Mustafi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Lacazette,0,0,1,0,7,3,0,0,0,0,0,3,4,5,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,1,0,1,3,8
Ainsley Maitland-Niles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Luiz,0,0,0,0,0,2,0,0,0,1,0,0,7,1,0,0,0,0,0,3,16,2,0,0,0,0,0,0,8,6,0,0,1,9
Thomas Partey,0,0,1,0,17,18,0,0,0,6,0,3,0,4,0,0,0,0,0,4,8,2,6,0,0,0,0,0,1,8,0,0,2,8
Kieran Tierney,0,0,4,0,1,15,0,0,0,5,0,1,0,0,0,0,0,0,0,1,8,1,9,0,0,0,0,0,1,1,0,0,1,15
Dani Ceballos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cédric Soares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Willock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Macey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Martinelli,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bukayo Saka,0,0,0,0,12,1,0,0,0,3,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,5
Pablo Marí,0,0,2,0,3,14,0,0,0,5,0,13,13,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,13
Nicolas Pépé,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,2
Pierre-Emerick Aubameyang,0,0,0,0,4,3,0,0,0,1,0,0,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10
Eddie Nketiah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Héctor Bellerín,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Magalhães,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sead Kolasinac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miguel Azeez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernd Leno,0,0,2,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,1,8,0,2,0,0,0,0,0,0,2,0,0,0,3
Calum Chambers,0,0,1,0,12,3,0,0,0,3,0,8,5,1,0,0,0,0,0,8,1,1,1,0,0,0,0,0,1,0,0,0,1,13
